id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
2379,Luis Flores,208,99,University of the Pacific,23,208,48%,121,77,508,1
2380,Matt Freije,208,99,University of the Pacific,24,343,47%,195,163,821,1
2381,Ben Gordon,208,99,University of the Pacific,25,325,47%,160,115,764,1
2382,Devin Harris,208,99,University of the Pacific,26,257,44%,125,83,604,1
2383,David Harrison,208,99,University of the Pacific,26,86,47%,48,26,207,0
2384,Kris Humphries,208,99,University of the Pacific,26,171,43%,77,57,397,0
2385,Andre Iguodala,208,99,University of the Pacific,27,307,49%,123,192,693,1
2386,Royal Ivey,208,99,University of the Pacific,28,256,49%,102,160,584,1
2387,Horace Jenkins,208,99,University of the Pacific,29,23,35%,16,17,55,0
2388,Kevin Martin,201,97,Kentucky State University,23,51,44%,26,7,125,0
2389,Jameer Nelson,201,97,Kentucky State University,24,1,25%,3,0,3,0
2390,Emeka Okafor,201,86,Long Island University,26,0,0%,9,0,3,0
2391,Justin Reed,183,77,University of California,23,171,43%,46,118,375,0
2392,Jared Reiner,183,77,University of California,24,194,42%,55,102,426,0
2393,Bernard Robinson,183,77,University of California,25,394,41%,102,233,863,1
2394,Quinton Ross,183,77,University of California,26,342,47%,79,122,744,1
2395,Josh Smith,183,77,University of California,27,255,44%,69,91,559,1
2396,Kirk Snyder,183,77,University of California,28,237,41%,61,130,523,1
2397,Pape Sow,183,77,University of California,28,96,41%,10,48,199,0
2398,Awvee Storey,183,77,University of California,28,141,41%,51,82,324,0
2399,Yuta Tabuse,183,77,University of California,29,342,44%,79,177,751,1
2400,Billy Thomas,198,90,Temple University,23,308,50%,206,200,772,1
2401,James Thomas,198,90,Temple University,24,209,48%,94,167,495,0
2402,Jackson Vroman,198,90,Temple University,25,203,47%,114,110,501,1
2403,Delonte West,198,90,Temple University,25,139,47%,77,80,340,0
2404,Damien Wilkins,198,90,Temple University,25,64,49%,37,30,161,0
2405,Alex Acker,198,90,Temple University,26,348,51%,149,146,821,1
2406,Alan Anderson,198,90,Temple University,27,218,49%,115,105,537,1
2407,Earl Barron,198,90,Temple University,28,292,47%,130,120,695,1
2408,Eddie Basden,198,90,Temple University,29,281,52%,110,163,650,1
2409,Brandon Bass,198,90,Temple University,30,261,51%,93,161,607,1
2410,Andrew Bogut,198,90,Temple University,31,86,57%,31,30,202,0
2411,Kevin Burleson,198,90,Temple University,32,26,51%,7,10,61,0
2412,Will Bynum,203,102,Niagara University,27,377,40%,200,95,898,1
2413,Travis Diener,203,102,Niagara University,28,79,34%,83,25,216,0
2414,Ike Diogu,196,83,Marshall University,23,49,39%,43,38,130,0
2415,Daniel Ewing,196,83,Marshall University,24,38,40%,16,20,87,0
2416,Noel Felix,196,83,Marshall University,25,29,38%,14,7,65,0
2417,Raymond Felton,211,94,Loyola University of Chicago,22,145,40%,77,42,340,0
2418,Gerald Fitch,211,94,Loyola University of Chicago,23,101,44%,66,20,244,0
2419,Channing Frye,211,94,Loyola University of Chicago,24,236,45%,142,69,571,1
2420,Francisco Garcia,211,94,Loyola University of Chicago,25,109,36%,77,72,275,0
2421,Ryan Gomes,206,95,University of North Carolina,21,585,45%,350,139,1441,1
2422,Joey Graham,206,95,University of North Carolina,22,901,55%,579,170,2261,1
2423,Stephen Graham,206,95,University of North Carolina,23,1095,51%,796,179,2831,1
2424,Danny Granger,206,95,University of North Carolina,24,934,49%,734,315,2427,1
2425,Devin Green,206,95,University of North Carolina,25,740,51%,516,205,1861,1
2426,Orien Greene,206,95,University of North Carolina,25,182,46%,158,65,474,0
2427,Anthony Grundy,206,95,University of North Carolina,25,558,53%,358,140,1387,1
2428,Chuck Hayes,206,95,University of North Carolina,26,814,52%,645,298,2097,1
2429,Luther Head,206,95,University of North Carolina,27,596,53%,450,168,1487,1
2430,Julius Hodge,206,95,University of North Carolina,27,429,54%,335,128,1076,1
2431,Jarrett Jack,206,95,University of North Carolina,27,167,50%,115,40,411,0
2432,Sarunas Jasikevicius,206,95,University of North Carolina,28,489,49%,322,200,1222,1
2433,Dwayne Jones,206,95,University of North Carolina,29,68,44%,41,30,165,0
2434,Linas Kleiza,206,95,University of North Carolina,29,30,37%,20,20,72,0
2435,David Lee,206,95,University of North Carolina,29,38,51%,21,10,93,0
2436,Rawle Marshall,206,95,University of North Carolina,30,151,47%,126,32,392,0
2437,Jason Maxiell,206,95,University of North Carolina,31,292,52%,163,39,703,1
2438,Sean May,206,95,University of North Carolina,32,352,47%,264,74,916,1
2439,Rashad McCants,206,95,University of North Carolina,33,284,52%,162,67,690,1
2440,Aaron Miles,206,95,University of North Carolina,34,116,46%,81,35,294,0
2441,Andre Owens,193,81,"California State University, Northridge",22,44,49%,39,17,111,0
2442,Chris Paul,193,81,"California State University, Northridge",26,18,38%,18,14,47,0
2443,Josh Powell,203,90,"California State University, Long Beach",22,34,35%,37,5,86,0
2444,Ronnie Price,203,88,University of Hawaii,22,16,22%,17,16,43,0
2445,Shavlik Randolph,203,88,University of Hawaii,23,41,36%,39,14,106,0
2446,Anthony Roberson,203,88,University of Hawaii,27,157,52%,69,46,364,0
2447,Lawrence Roberts,203,88,University of Hawaii,28,227,44%,86,71,523,1
2448,Nate Robinson,201,102,Tennessee State University,22,455,49%,293,146,1097,1
2449,Melvin Sanders,201,102,Tennessee State University,23,246,49%,168,89,609,1
2450,Luke Schenscher,201,102,Tennessee State University,24,409,47%,295,139,1007,1
2451,Wayne Simien,201,102,Tennessee State University,25,435,48%,268,118,1056,1
2452,James Singleton,201,102,Tennessee State University,26,160,47%,114,58,397,0
2453,Salim Stoudamire,201,102,Tennessee State University,27,272,50%,177,81,671,1
2454,Chris Taft,201,102,Tennessee State University,28,4,36%,1,1,9,0
2455,Donell Taylor,183,77,Saint Francis University,22,205,46%,101,237,472,0
2456,Dijon Thompson,183,77,Saint Francis University,23,477,48%,249,469,1134,1
2457,Ronny Turiaf,183,77,Saint Francis University,24,406,49%,186,650,943,1
2458,Charlie Villanueva,183,77,Saint Francis University,25,99,42%,56,193,240,0
2459,Von Wafer,183,77,Saint Francis University,26,310,51%,133,592,717,1
2460,Matt Walsh,183,77,Saint Francis University,27,495,47%,320,837,1234,1
2461,Hakim Warrick,183,77,Saint Francis University,27,14,45%,13,36,37,0
2462,Martell Webster,183,77,Saint Francis University,27,481,47%,307,801,1197,1
2463,Robert Whaley,183,77,Saint Francis University,28,534,48%,266,1099,1260,1
2464,Deron Williams,183,77,Saint Francis University,29,201,46%,137,457,512,1
2465,Lou Williams,183,77,Saint Francis University,30,443,52%,247,734,1086,1
2466,Marvin Williams,183,77,Saint Francis University,32,21,53%,6,46,47,0
2467,Antoine Wright,190,88,University of Louisville,23,158,44%,73,97,376,0
2468,Bracey Wright,190,88,University of Louisville,24,538,45%,234,369,1263,1
2469,Hassan Adams,190,88,University of Louisville,25,317,44%,194,286,803,1
2470,Maurice Ager,190,88,University of Louisville,25,75,45%,45,63,191,0
2471,LaMarcus Aldridge,190,88,University of Louisville,25,242,44%,149,223,612,1
2472,Lou Amundson,190,88,University of Louisville,26,398,42%,166,395,937,1
2473,Hilton Armstrong,190,88,University of Louisville,27,253,45%,103,261,589,1
2474,James Augustine,190,88,University of Louisville,27,21,51%,9,15,49,0
2475,Kelenna Azubuike,190,88,University of Louisville,27,44,42%,20,38,105,0
2476,Renaldo Balkman,190,88,University of Louisville,27,188,45%,74,208,435,0
2477,Will Blalock,190,88,University of Louisville,28,294,45%,169,260,723,1
2478,Josh Boone,190,88,University of Louisville,28,141,48%,66,158,333,0
2479,Cedric Bozeman,190,88,University of Louisville,28,153,42%,103,102,390,0
2480,Ronnie Brewer,190,88,University of Louisville,29,171,50%,79,218,397,0
2481,Andre Brown,208,104,University of Wisconsin-Eau Claire,21,98,42%,84,38,241,0
2482,Shannon Brown,208,102,University of South Carolina,22,10,42%,24,2,35,0
2483,Rodney Carney,208,102,University of South Carolina,23,13,45%,17,3,38,0
2484,Mardy Collins,208,102,University of South Carolina,24,53,36%,82,19,152,0
2485,Will Conroy,203,88,University of Southern California,22,273,43%,116,76,625,1
2486,Paul Davis,203,88,University of Southern California,23,81,40%,38,37,186,0
2487,Yakhouba Diawara,203,88,University of Southern California,23,24,42%,24,8,62,0
2488,Quincy Douby,203,88,University of Southern California,23,57,39%,14,29,124,0
2489,Jordan Farmar,203,88,University of Southern California,24,196,42%,97,130,463,0
2490,Desmon Farmer,203,88,University of Southern California,25,115,41%,56,75,268,0
2491,Randy Foye,185,77,University of Wisconsin-Eau Claire,23,2,29%,6,10,10,0
2492,Rudy Gay,196,86,University of Kansas,23,198,38%,114,58,482,0
2493,Daniel Gibson,196,86,University of Kansas,24,188,39%,77,33,424,0
2494,Lynn Greer,196,86,University of Kansas,25,298,42%,182,46,721,1
2495,Robert Hite,196,86,University of Kansas,26,211,44%,124,53,507,1
2496,Ryan Hollins,196,86,University of Kansas,27,126,46%,29,23,269,0
2497,Alexander Johnson,198,97,"California State University, Long Beach",22,55,34%,24,40,127,0
2498,Solomon Jones,198,97,"California State University, Long Beach",26,128,40%,62,39,304,0
2499,Tarence Kinsey,198,93,"University of California, Santa Barbara",22,14,35%,4,6,30,0
2500,Kyle Lowry,198,93,"University of California, Santa Barbara",23,59,36%,17,33,128,0
2501,Renaldo Major,198,93,"University of California, Santa Barbara",24,53,36%,22,30,119,0
2502,Ivan McFarlin,193,88,University of Southern California,22,89,42%,86,69,245,0
2503,Pops Mensah-Bonsu,193,88,University of Southern California,23,238,50%,153,171,588,1
2504,Paul Millsap,193,88,University of Southern California,24,342,51%,156,235,803,1
2505,Randolph Morris,193,88,University of Southern California,25,657,49%,440,440,1679,1
2506,Adam Morrison,193,88,University of Southern California,26,682,52%,439,459,1726,1
2507,David Noel,193,88,University of Southern California,27,809,52%,487,437,2014,1
2508,Steve Novak,193,88,University of Southern California,28,801,54%,405,529,1941,1
2509,Patrick O'Bryant,193,88,University of Southern California,29,666,54%,443,416,1792,1
2510,Kevinn Pinkney,193,88,University of Southern California,30,215,45%,184,148,601,1
2511,Leon Powe,193,88,University of Southern California,31,84,45%,47,100,210,0
2512,Roger Powell,193,88,University of Southern California,32,304,47%,184,439,798,1
2513,Chris Quinn,193,88,University of Southern California,33,137,48%,142,148,412,0
2514,Allan Ray,198,95,Friendship Junior College,25,9,41%,6,1,20,0
2515,Jeremy Richardson,198,95,Friendship Junior College,26,82,48%,76,25,212,0
2516,Rajon Rondo,198,95,Friendship Junior College,27,233,46%,187,84,607,1
2517,Brandon Roy,198,95,Friendship Junior College,28,72,44%,60,18,184,0
2518,Cedric Simmons,206,90,Saint Joseph's University,22,314,40%,213,163,769,1
2519,Craig Smith,206,90,Saint Joseph's University,23,418,46%,259,159,1021,1
2520,Steven Smith,206,90,Saint Joseph's University,24,220,46%,199,105,576,1
2521,Tyrus Thomas,206,90,Saint Joseph's University,24,8,31%,5,3,21,0
2522,James White,206,90,Saint Joseph's University,24,212,47%,194,102,555,1
2523,Justin Williams,206,90,Saint Joseph's University,25,361,48%,310,102,946,1
2524,Marcus Williams,206,90,Saint Joseph's University,25,137,49%,84,52,332,0
2525,Shawne Williams,206,90,Saint Joseph's University,25,224,47%,226,50,614,1
2526,Shelden Williams,206,90,Saint Joseph's University,26,502,48%,342,238,1258,1
2527,Arron Afflalo,206,90,Saint Joseph's University,27,482,47%,338,223,1191,1
2528,Blake Ahearn,206,90,Saint Joseph's University,28,383,51%,209,279,908,1
2529,Lance Allred,206,90,Saint Joseph's University,29,431,49%,281,240,1061,1
2530,Morris Almond,206,90,Saint Joseph's University,30,332,47%,267,114,838,1
2531,Joel Anthony,206,90,Saint Joseph's University,30,177,44%,153,68,458,0
2532,Corey Brewer,206,90,Saint Joseph's University,30,155,51%,114,46,380,0
2533,Aaron Brooks,206,83,University of Minnesota,23,357,43%,212,134,876,1
2534,Wilson Chandler,206,83,University of Minnesota,24,333,40%,264,153,865,1
2535,Mike Conley,206,83,University of Minnesota,25,308,45%,179,139,760,1
2536,Daequan Cook,206,83,University of Minnesota,26,213,42%,126,83,516,1
2537,Javaris Crittenton,206,83,University of Minnesota,27,346,43%,247,101,871,1
2538,Jermareo Davidson,206,83,University of Minnesota,27,117,47%,70,34,285,0
2539,Glen Davis,206,83,University of Minnesota,27,7,64%,1,2,14,0
2540,Guillermo Diaz,206,83,University of Minnesota,27,222,41%,176,65,572,1
2541,Jared Dudley,206,83,University of Minnesota,28,28,45%,13,7,66,0
2542,Kevin Durant,206,83,University of Minnesota,28,5,42%,2,2,12,0
2543,Nick Fazekas,206,83,University of Minnesota,28,23,46%,11,5,54,0
2544,Thomas Gardner,206,83,University of Minnesota,29,9,39%,6,7,23,0
2545,Aaron Gray,196,83,Drake University,23,68,38%,36,25,156,0
2546,Taurean Green,196,83,Drake University,24,8,38%,7,3,19,0
2547,Mike Harris,206,95,University of Minnesota,22,210,38%,123,149,500,0
2548,Spencer Hawes,206,95,University of Minnesota,23,291,46%,159,128,685,1
2549,Al Horford,206,95,University of Minnesota,24,400,46%,214,209,940,1
2550,Coby Karl,206,95,University of Minnesota,25,296,45%,178,195,689,1
2551,Carl Landry,206,95,University of Minnesota,26,175,45%,100,98,396,0
2552,Stephane Lasme,206,95,University of Minnesota,27,141,44%,63,87,308,0
2553,Acie Law,206,95,University of Minnesota,27,114,44%,48,74,251,0
2554,Dominic McGuire,206,95,University of Minnesota,27,27,45%,15,13,57,0
2555,Josh McRoberts,206,95,University of Minnesota,28,90,50%,29,75,194,0
2556,Jamario Moon,206,95,University of Minnesota,29,101,52%,40,55,217,0
2557,Demetris Nichols,206,95,University of Minnesota,30,80,47%,19,42,170,0
2558,Joakim Noah,201,95,Virginia Polytechnic Institute and State University,22,108,40%,57,92,258,0
2559,Kasib Powell,201,95,Virginia Polytechnic Institute and State University,23,163,42%,153,99,447,0
2560,Gabe Pruitt,201,95,Virginia Polytechnic Institute and State University,25,365,49%,258,240,936,1
2561,Chris Richard,201,95,Virginia Polytechnic Institute and State University,26,257,48%,208,194,666,1
2562,Ramon Sessions,201,95,Virginia Polytechnic Institute and State University,27,174,49%,149,231,472,0
2563,Jason Smith,201,95,Virginia Polytechnic Institute and State University,28,375,48%,243,341,953,1
2564,Rodney Stuckey,201,95,Virginia Polytechnic Institute and State University,29,266,45%,198,383,713,1
2565,Al Thornton,201,95,Virginia Polytechnic Institute and State University,30,215,45%,164,448,573,1
2566,Alando Tucker,201,95,Virginia Polytechnic Institute and State University,31,38,44%,14,70,104,0
2567,Darius Washington,201,99,University of Missouri,22,277,44%,217,114,717,1
2568,Darryl Watkins,201,99,University of Missouri,23,315,46%,250,133,815,1
2569,Mario West,201,99,University of Missouri,24,215,44%,209,126,592,1
2570,Sean Williams,201,99,University of Missouri,25,160,46%,150,103,441,0
2571,Brandan Wright,201,99,University of Missouri,26,192,47%,200,105,549,1
2572,Julian Wright,201,99,University of Missouri,27,152,48%,98,104,388,0
2573,Nick Young,201,99,University of Missouri,28,37,35%,48,18,112,0
2574,Thaddeus Young,201,99,University of Missouri,28,0,0%,4,4,4,0
2575,Joe Alexander,201,99,University of Missouri,28,37,38%,44,14,108,0
2576,Ryan Anderson,193,88,La Salle University,26,49,39%,28,52,117,0
2577,Darrell Arthur,198,81,Illinois State University,22,72,37%,72,40,199,0
2578,Jerryd Bayless,198,81,Illinois State University,23,561,49%,392,213,1453,1
2579,Michael Beasley,198,81,Illinois State University,24,614,51%,445,191,1600,1
2580,Bobby Brown,198,81,Illinois State University,25,426,52%,250,271,1062,1
2581,Mario Chalmers,198,81,Illinois State University,26,643,53%,329,320,1553,1
2582,Joe Crawford,198,81,Illinois State University,27,358,50%,247,191,917,1
2583,Joey Dorsey,198,81,Illinois State University,28,191,47%,124,100,495,0
2584,Chris Douglas-Roberts,198,81,Illinois State University,29,62,49%,29,42,148,0
2585,Eric Gordon,190,83,Marshall University,22,107,40%,47,123,247,0
2586,Donte Greene,190,83,Marshall University,23,69,40%,36,107,166,0
2587,Malik Hairston,190,83,Marshall University,24,7,26%,2,16,16,0
2588,Roy Hibbert,190,83,Marshall University,25,1,33%,2,2,3,0
2589,George Hill,198,99,St. John's University,23,33,35%,16,8,78,0
2590,Othello Hunter,198,99,St. John's University,24,154,39%,70,54,356,0
2591,Darnell Jackson,198,99,St. John's University,25,76,39%,29,31,174,0
2592,Nathan Jawai,198,99,St. John's University,26,168,36%,91,71,400,0
2593,Dontell Jefferson,198,99,St. John's University,26,41,37%,31,24,104,0
2594,Trey Johnson,198,99,St. John's University,26,127,36%,60,47,296,0
2595,DeAndre Jordan,201,98,University of Cincinnati,22,115,49%,66,54,281,0
2596,Kosta Koufos,201,98,University of Cincinnati,23,274,48%,99,125,614,1
2597,Rob Kurz,201,98,University of Cincinnati,24,220,47%,79,83,502,1
2598,Courtney Lee,201,98,University of Cincinnati,25,158,46%,61,63,361,0
2599,Brook Lopez,201,98,University of Cincinnati,26,87,44%,36,21,204,0
2600,Robin Lopez,201,98,University of Cincinnati,26,60,46%,17,11,136,0
2601,Kevin Love,201,98,University of Cincinnati,26,27,40%,19,10,68,0
2602,Cartier Martin,183,81,Providence College,23,530,42%,193,663,1234,1
2603,JaVale McGee,183,81,Providence College,24,103,44%,45,151,241,0
2604,Anthony Morrow,183,81,Providence College,25,182,38%,94,265,450,0
2605,DeMarcus Nelson,183,81,Providence College,26,365,42%,146,378,868,1
2606,Greg Oden,183,81,Providence College,27,88,42%,33,137,204,0
2607,Anthony Randolph,183,81,Providence College,27,41,41%,20,71,98,0
2608,Derrick Rose,183,81,Providence College,27,47,43%,13,66,106,0
2609,Brandon Rush,203,102,Indiana University,23,21,33%,38,11,64,0
2610,Walter Sharpe,203,102,Indiana University,24,0,0%,2,0,0,0
2611,Sean Singletary,190,83,Brigham Young University,24,226,46%,135,279,559,1
2612,Marreese Speights,190,83,Brigham Young University,25,47,44%,43,52,127,0
2613,Mike Taylor,203,88,University of Pennsylvania,22,50,49%,13,4,110,0
2614,Jason Thompson,193,86,Southern Illinois University,24,38,41%,48,23,106,0
2615,Anthony Tolliver,193,86,Southern Illinois University,25,118,41%,94,39,297,0
2616,Kyle Weaver,193,86,Southern Illinois University,26,182,43%,170,46,479,0
2617,Sonny Weems,190,81,Villanova University,22,50,38%,37,37,129,0
2618,Russell Westbrook,208,95,University of Houston,21,238,47%,156,86,592,1
2619,Jawad Williams,208,95,University of Houston,22,323,43%,183,152,778,1
2620,David Andersen,208,95,University of Houston,23,251,46%,219,83,665,1
2621,DeJuan Blair,208,95,University of Houston,24,167,49%,126,48,435,0
2622,Jon Brockman,208,95,University of Houston,25,346,45%,233,109,873,1
2623,Derrick Brown,208,95,University of Houston,26,181,46%,132,57,458,0
2624,Chase Budinger,208,95,University of Houston,27,257,51%,201,101,660,1
2625,DeMarre Carroll,208,95,University of Houston,27,50,42%,36,11,127,0
2626,Earl Clark,208,95,University of Houston,27,207,54%,165,90,533,1
2627,Darren Collison,208,95,University of Houston,28,245,48%,161,99,615,1
2628,Dante Cunningham,208,95,University of Houston,29,302,53%,238,114,779,1
2629,Stephen Curry,208,95,University of Houston,30,148,46%,123,62,375,0
2630,Austin Daye,208,95,University of Houston,30,86,45%,75,40,219,0
2631,DeMar DeRozan,208,95,University of Houston,30,62,47%,48,22,156,0
2632,Toney Douglas,203,99,University of Toledo,22,59,44%,32,25,141,0
2633,Wayne Ellington,203,99,University of Toledo,23,60,36%,36,41,151,0
2634,Tyreke Evans,203,99,University of Toledo,24,48,49%,30,33,115,0
2635,Jonny Flynn,213,104,University of Iowa,22,105,49%,33,43,231,0
2636,Sundiata Gaines,213,104,University of Iowa,22,49,49%,16,25,109,0
2637,Alonzo Gee,213,104,University of Iowa,22,56,49%,17,18,122,0
2638,Taj Gibson,213,104,University of Iowa,23,346,51%,169,108,808,1
2639,Danny Green,213,104,University of Iowa,24,465,49%,156,155,1032,1
2640,Taylor Griffin,213,104,University of Iowa,25,333,49%,126,154,759,1
2641,Tyler Hansbrough,213,104,University of Iowa,26,368,44%,135,97,829,1
2642,James Harden,213,104,University of Iowa,27,234,47%,85,113,524,1
2643,Jordan Hill,213,104,University of Iowa,28,50,44%,43,29,126,0
2644,Jrue Holiday,213,104,University of Iowa,29,101,47%,54,67,244,0
2645,Lester Hudson,213,104,University of Iowa,30,20,42%,17,18,49,0
2646,Chris Hunter,206,88,Marquette University,23,106,48%,140,24,311,0
2647,Cedric Jackson,206,88,Marquette University,24,296,46%,241,73,781,1
2648,Othyus Jeffers,206,88,Marquette University,25,295,48%,273,72,797,1
2649,James Johnson,206,88,Marquette University,26,47,42%,61,6,146,0
2650,Marcus Landry,206,88,Marquette University,26,18,35%,30,3,60,0
2651,Ty Lawson,206,88,Marquette University,26,29,48%,31,3,86,0
2652,Wesley Matthews,206,88,Marquette University,27,162,46%,175,47,469,0
2653,Eric Maynor,206,88,Marquette University,27,6,33%,19,2,27,0
2654,Jodie Meeks,206,88,Marquette University,27,156,46%,156,45,442,0
2655,Patty Mills,206,88,Marquette University,28,9,45%,12,3,29,0
2656,Byron Mullens,188,83,Duke University,23,202,46%,107,142,496,0
2657,DaJuan Summers,188,83,Duke University,24,232,43%,141,156,578,1
2658,Jermaine Taylor,190,86,University of Washington,22,93,43%,73,52,239,0
2659,Jeff Teague,190,86,University of Washington,23,307,45%,250,178,806,1
2660,Garrett Temple,190,86,University of Washington,24,327,43%,230,169,823,1
2661,Hasheem Thabeet,190,86,University of Washington,25,7,50%,7,3,18,0
2662,Marcus Thornton,190,86,University of Washington,26,85,40%,84,34,227,0
2663,Terrence Williams,190,86,University of Washington,26,3,21%,11,5,15,0
2664,Sam Young,190,86,University of Washington,26,82,42%,73,29,212,0
2665,Jeff Adrien,196,90,Arizona State University,23,21,54%,14,15,53,0
2666,Solomon Alabi,196,90,Arizona State University,24,56,39%,16,49,124,0
2667,Cole Aldrich,198,88,"California State University, Long Beach",23,254,43%,129,181,611,1
2668,Al-Farouq Aminu,198,88,"California State University, Long Beach",24,392,46%,190,259,941,1
2669,James Anderson,198,88,"California State University, Long Beach",25,314,49%,206,260,796,1
2670,Luke Babbitt,198,88,"California State University, Long Beach",26,70,44%,42,43,166,0
2671,Eric Bledsoe,198,88,"California State University, Long Beach",27,130,42%,47,153,299,0
2672,Trevor Booker,185,86,Duke University,28,42,45%,32,17,104,0
2673,Craig Brackins,203,104,American University,22,73,48%,49,19,172,0
2674,Avery Bradley,203,104,American University,23,87,42%,122,66,246,0
2675,Derrick Caracter,203,104,American University,24,39,43%,66,20,123,0
2676,Sherron Collins,203,104,American University,25,191,50%,187,48,514,1
2677,DeMarcus Cousins,203,104,American University,26,247,49%,246,72,664,1
2678,Jordan Crawford,203,104,American University,26,110,45%,110,30,288,0
2679,Ed Davis,203,104,American University,26,137,52%,136,42,376,0
2680,Zabian Dowdell,203,104,American University,27,350,56%,330,125,927,1
2681,Devin Ebanks,203,104,American University,28,421,56%,360,167,1073,1
2682,Jeremy Evans,203,104,American University,29,325,57%,288,149,831,1
2683,Patrick Ewing,203,104,American University,30,38,49%,41,29,100,0
2684,Derrick Favors,203,104,American University,36,7,50%,2,0,16,0
2685,Landry Fields,185,79,Xavier University of Louisiana,22,198,39%,155,351,496,0
2686,Gary Forbes,185,79,Xavier University of Louisiana,23,232,42%,153,499,557,1
2687,Paul George,185,79,Xavier University of Louisiana,24,433,43%,344,661,1065,1
2688,Blake Griffin,185,79,Xavier University of Louisiana,25,428,42%,293,630,1028,1
2689,Luke Harangody,185,79,Xavier University of Louisiana,26,219,39%,156,294,530,1
2690,Manny Harris,185,79,Xavier University of Louisiana,26,110,40%,53,133,250,0
2691,Gordon Hayward,185,79,Xavier University of Louisiana,26,109,38%,103,161,280,0
2692,Lazar Hayward,185,79,Xavier University of Louisiana,27,92,41%,67,243,225,0
2693,Xavier Henry,201,88,University of Illinois at Urbana-Champaign,23,199,41%,139,38,494,0
2694,Damion James,201,88,University of Illinois at Urbana-Champaign,24,256,46%,138,51,615,1
2695,Eugene Jeter,201,88,University of Illinois at Urbana-Champaign,25,218,48%,137,55,532,1
2696,Armon Johnson,201,88,University of Illinois at Urbana-Champaign,26,310,45%,144,53,711,1
2697,Chris Johnson,201,88,University of Illinois at Urbana-Champaign,26,27,36%,8,2,59,0
2698,Wesley Johnson,201,88,University of Illinois at Urbana-Champaign,26,283,46%,136,51,652,1
2699,Dominique Jones,201,88,University of Illinois at Urbana-Champaign,27,86,44%,42,32,209,0
2700,Jeremy Lin,201,88,University of Illinois at Urbana-Champaign,28,479,48%,238,135,1134,1
2701,Greg Monroe,201,88,University of Illinois at Urbana-Champaign,29,164,43%,91,54,391,0
2702,Hamady N'Diaye,213,106,Ohio State University,23,105,43%,62,41,256,0
2703,Gary Neal,213,106,Ohio State University,24,33,34%,31,15,85,0
2704,Larry Owens,213,106,Ohio State University,25,11,34%,15,4,31,0
2705,Patrick Patterson,208,104,Augsburg College,24,47,45%,30,81,120,0
2706,Dexter Pittman,208,104,Augsburg College,25,88,49%,61,85,227,0
2707,Quincy Pondexter,203,97,University of Cincinnati,26,89,34%,65,40,226,0
2708,Andy Rautins,203,97,University of Cincinnati,27,107,36%,100,48,285,0
2709,Samardo Samuels,203,97,University of Cincinnati,28,96,38%,76,53,241,0
2710,Larry Sanders,203,97,University of Cincinnati,29,8,47%,5,8,19,0
2711,Mustafa Shakur,203,97,University of Cincinnati,29,0,0%,2,1,1,0
2712,Garret Siler,203,97,University of Cincinnati,29,8,50%,3,7,18,0
2713,Ish Smith,196,83,University of Texas at El Paso,23,51,41%,41,59,122,0
2714,Lance Stephenson,196,83,University of Texas at El Paso,24,28,36%,28,41,70,0
2715,Evan Turner,196,83,University of Texas at El Paso,26,59,42%,67,40,155,0
2716,Ekpe Udoh,196,83,University of Texas at El Paso,28,15,44%,13,26,38,0
2717,Ben Uzoh,193,83,Jacksonville University,24,35,37%,18,25,85,0
2718,Greivis Vasquez,193,83,Jacksonville University,25,219,40%,140,158,543,1
2719,John Wall,196,88,Boston University,22,7,54%,11,2,19,0
2720,Willie Warren,193,80,University of Notre Dame,21,234,46%,184,221,594,1
2721,Hassan Whiteside,193,80,University of Notre Dame,22,237,46%,227,246,633,1
2722,Lavoy Allen,193,80,University of Notre Dame,23,242,43%,219,228,647,1
2723,MarShon Brooks,193,80,University of Notre Dame,23,130,40%,137,111,365,0
2724,Alec Burks,193,80,University of Notre Dame,23,112,47%,82,117,282,0
2725,Jimmy Butler,193,80,University of Notre Dame,24,18,42%,24,20,54,0
2726,Derrick Byars,218,102,North Carolina State University,22,322,42%,265,115,826,1
2727,Norris Cole,218,102,North Carolina State University,23,496,48%,388,180,1283,1
2728,Eric Dawson,218,102,North Carolina State University,24,288,44%,301,93,796,1
2729,Justin Dentmon,218,102,North Carolina State University,25,228,43%,248,131,653,1
2730,Jerome Dyson,218,102,North Carolina State University,26,157,46%,169,50,435,0
2731,Kenneth Faried,218,102,North Carolina State University,27,36,36%,40,20,95,0
2732,Courtney Fortson,218,102,North Carolina State University,28,41,41%,41,12,102,0
2733,Jimmer Fredette,206,98,Hardin-Simmons University,23,41,55%,25,21,98,0
2734,Mickell Gladness,206,98,Hardin-Simmons University,24,103,43%,96,63,264,0
2735,Andrew Goudelock,206,98,Hardin-Simmons University,25,62,50%,47,30,157,0
2736,Jordan Hamilton,206,98,Hardin-Simmons University,26,70,39%,55,34,174,0
2737,Justin Harper,206,98,Hardin-Simmons University,27,102,42%,78,48,264,0
2738,Josh Harrellson,206,98,Hardin-Simmons University,27,28,41%,17,18,69,0
2739,Terrel Harris,206,98,Hardin-Simmons University,27,74,42%,61,30,195,0
2740,Tobias Harris,206,98,Hardin-Simmons University,28,97,40%,62,82,233,0
2741,Cory Higgins,206,98,Hardin-Simmons University,29,134,45%,92,99,327,0
